,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
10733,ice,6111243860369,Ice orange,51.8,220.1,12.99,12.0,0.0,0.0,0.9,0.0,0.01,0.004,4.0,3.0,2.72916666666667
10734,This isn't,5060678710453,This isn’t beef burgers,253.12,,6.215,0.791,17.402,5.65,16.159,3.39,0.9825,0.393,4.0,4.0,0.0
10735,Lidl,4056489650638,Extra virgin olive houmous,232.0,,11.5,0.8,15.5,2.2,7.9,7.3,0.48,0.192,3.0,-3.0,77.1544
10736,Asda,5057172612833,Plain bagels,265.0,1122.0,51.0,5.3,1.7,0.3,9.3,3.4,0.6,0.24,4.0,2.0,2.65
10737,Aldi,4088600451565,Sweet Chilli Rice Crackers,427.0,,83.5,4.6,6.6,1.6,7.2,1.2,1.97,0.788,4.0,16.0,0.0
10738,Bisto,5000354923722,Bisto graby granules,411.0,,64.9,18.0,15.8,11.0,1.5,1.8,8.31,3.324,4.0,40.0,0.0225360576923066
10739,PepsiCo India holdings Pvt.Ltd,8901491361026,masala munch 10rs,558.0,,55.2,1.0,34.7,15.6,6.4,0.0,2230.0,892.0,4.0,27.0,0.0
10740,Lidl,4056489198338,Chunky Guacamole,138.0,572.0,4.5,2.8,12.2,2.9,1.5,2.3,0.6,0.24,3.0,0.0,83.4403211805556
10741,Tesco,5057753919696,Plant Chef Sweet Potato & Coconut Soup,57.0,240.0,7.0,3.8,2.7,1.9,0.7,1.2,0.5,0.2,4.0,4.0,13.716796875
10742,Crownfield,4056489694113,Granola superberry,441.0,,62.7,13.9,15.0,1.8,10.2,7.2,0.01,0.004,4.0,1.0,4.5
10743,Freshona,40891729,Sliced Gherkins,39.0,,8.0,8.0,0.1,0.1,0.3,1.0,0.3925,0.157,4.0,1.0,79.6731923905327
10744,Philip Morris,7622100977070,L&M,,,,,,,,,,,,,
10745,President,6191513501086,Fromage fondu président 24 portions,290.0,,4.6,,,,9.5,,,,4.0,,0.0
10746,"Tradco France, Walima",6111180005694,Colorant Alimentaire,,,,,,,,,,,,,
10747,Marks & Spencer,29204878,Hand finished white cob,243.0,1017.0,47.2,2.0,1.3,0.1,8.9,3.5,,,4.0,,0.703125
10748,Yeo Valley,5036589255512,Hearty Cream of Vegetable,53.0,,6.8,1.8,1.7,0.9,1.7,2.2,0.44,0.176,3.0,2.0,48.0
10749,Sainsbury’s sourdough bloomer,01142457,Sainsburys White Sourdough Bloomer,120.0,510.0,,,,,,,,,3.0,,0.0
10750,بقال,6111242103979,حليب,,,,,,,,,,,,,
