brands,code,product_name
le fromage fouette madame loik paysan breton,3.41229E+12,paysan breton  le fromage fouette madame loik  nature au sel de guerande
hacendadoentrepinares,8.48E+12,suave
schneider brot,41005514,whole grain rye bread
weetabix,5.01003E+12,crispy minis choco cereales de ble complet enrichies en vitamines et en fer avec du chocolat
rigoni di asiago,8.05258E+12,nocciolata bianca
jaouda,6.11124E+12,ghani
specially selected,4.0886E+12,white sourdough loaf
danone,6.11103E+12,assiri panache
marrakech,6.11124E+12,frut
jaouda,6.11124E+12,leben
sabra,7.2901E+12,sabra houmous extra
kallo,5.01367E+12,organic beef stock cubes 8 pack
nestle nestle uk ltd,7.61303E+12,original shredded wheat
tesco,5.05291E+12,organic baked beans
hacendado,8.48E+12,trigo espelta 0 azucares anadidos
kallo,5.01367E+12,protein packed lentil cakes
heck,5.06032E+12,pork sausages
ain soltane,6.11125E+12,eau
quaker,3.16893E+12,cruesli chocolat noir
lu,3.01776E+12,granola lu
jordans,5.01048E+12,country crisp 4 baies
lays,3.16893E+12,cuites au four nature
fin carre,20005832,dark chocolate
flahavans,5.0998E+12,irish organic jumbo oats
crownfield  lidl,20471613,wholegrain wheat bixies
nairns,61232201948,cheese oatcakes
jaouda,6.11124E+12,lait sans lactose
fuze tea,5.449E+12,pet 125l fuze tea peche
pringles,5.05399E+12,sour cream  onionr
vadasz,5.01029E+12,raw kimchi
vip,6.11125E+12,classic
lu,7.62221E+12,belvita brut  5 cereales completes
kinderkinder delice,8.0005E+12,cacao
schar,8.0087E+12,maestro cereale avec du levain millet et quinoa
meridian,5.01421E+12,smooth peanut butter
el baraka,6.11118E+12,confiture de fraises
cocacola,5.00011E+12,pet 175l coca
president,3.15525E+12,beurre doux gastronomique
kinder,80177609,chocolate
tomato frito,6.11125E+12,sauce tomate bol bol
vmm,6.11118E+12,el baraka
jaouda,6.11124E+12,jaouda cremy yaourt  yougart with strawberries
excelo,6.11126E+12,biscotti
gerble,3.25149E+12,gouter aux raisins
barilla,8.07681E+12,barilla penne rigate fullkorn 500g
jd gross,20815882,arriba chocolat noir
kiri,3.07378E+12,kirikase
kikkoman,8.71504E+12,salsa de soja
granolalumondelez,7.6223E+12,granola loriginal gros eclats de chocolat
bjorg,3.22982E+12,avoine  boisson biologique
yoplait,3.32977E+12,skyr
mms,40111445,peanut
pringles,5.05399E+12,pringles sour cream
jaouda,6.11124E+12,linea
joly,6.11116E+12,miettes de maquereaux
kiri,6.11103E+12,kiri carre 36
lu,7.62221E+12,moelleux gout choconoisette
carapelli,8.00247E+12,huile dolive vierge extra bio classico
toblerone,7.6145E+12,toblerone
pip  nut,5.06037E+12,crunchy peanut butter
