,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
51,henrys,3362600011044,henrys,440.0,1840.96,76.4706,24.2353,10.8235,5.2941,7.6471,0.882353,0.3529412,4.0,21.0,0.0,0.31692310508875304,High,High Sugar,Yes
52,danone,6111032001003,assil,95.5,399.0,14.0,9.0,2.7,1.8,3.4,0.0,0.0,4.0,3.0,0.0,0.6428571428571429,Low,Moderate Sugar,Yes
53,salim,6111032000600,salim,58.0,242.672,4.8,4.4,3.0,2.0,3.0,0.1125,0.045,1.0,5.0,0.0,0.9166666666666667,Low,Low Sugar,No
54,cocacola,5449000214911,cocacola,42.0,180.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
55,jaouda,6111242100305,cremy,109.0,456.056,16.9,2.0,3.0,0.4,3.6,0.0,0.0,4.0,0.0,0.0,0.1183431952662722,Moderate,Low Sugar,Yes
56,the cocacola company,5449000061515,ciel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,1.0,0.0,0.0,,Low,Low Sugar,No
58,maruja,8425197712024,,539.0,2255.176,53.0,50.0,33.0,25.0,7.2,0.275,0.11,4.0,31.0,2.67857142857143,0.9433962264150944,High,High Sugar,Yes
59,danone,6111128000088,ain saiss 50cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
60,original,6111246721278,cream cheese,257.0,1061.0,3.1,0.0,18.0,0.0,10.0,0.0,0.0,3.0,-1.0,0.0,0.0,High,Low Sugar,No
61,lurpak,5740900404465,spreadable slightly salted,706.0,2953.904,0.6,0.6,78.0,35.0,0.5,0.885,0.354,2.0,20.0,22.5,1.0,High,Low Sugar,No
62,bahia,6111035003523,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
64,green  blacks,7622210578464,organic 70 dark chocolate bar,580.0,2428.0,36.0,29.0,42.0,25.0,9.1,0.01,0.004,3.0,20.0,0.0,0.8055555555555556,High,High Sugar,No
65,jibal,6111246954461,jibal jben,138.0,572.0,6.14,3.5,11.5,7.7,2.5,0.8,0.32,4.0,12.0,0.0,0.5700325732899023,Moderate,Low Sugar,Yes
66,excelo,6111259343108,king cookies,483.0,2020.872,61.5,32.0,24.0,12.0,5.2,0.27,0.108,4.0,26.0,0.0,0.5203252032520326,High,High Sugar,Yes
67,nestle,6111018903161,nescafe classic,362.0,1522.0,53.95,9.1,3.3,1.0,5.95,0.22,0.088,4.0,7.0,0.0,0.1686746987951807,High,Moderate Sugar,Yes
68,danone,6111032006619,jamila ryby,72.0,301.248,12.4,9.0,1.7,1.1,1.9,0.0,0.0,4.0,12.0,0.0,0.7258064516129032,Low,Moderate Sugar,Yes
69,ain lfrane,6111251420166,eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,1.2e-06,1.0,0.0,0.0,,Low,Low Sugar,No
70,aquafina,6111252421575,aquafina 50cl,1.0,4.184,0.1,0.1,0.1,0.1,0.1,0.1,0.04,1.0,0.0,0.0,1.0,Low,Low Sugar,No
71,solis,8445290615350,sauce tomate cuisinee,34.0,142.256,3.8,2.2,0.2,0.0,0.8,0.5,0.2,4.0,3.0,77.8284090909091,0.5789473684210527,Low,Low Sugar,Yes
72,cocacola,5449000214799,coke zero,0.3,1.3,0.0,0.0,0.0,0.0,0.0,0.01,0.004,4.0,4.0,0.0,,Low,Low Sugar,Yes
73,henrys,3362600011228,sable coco henry s 42g,186.0,778.224,31.0,10.0,5.2,3.0,3.2,0.3775,0.151,4.0,22.0,10.6,0.3225806451612903,Moderate,Moderate Sugar,Yes
74,heinz,5000157024671,beanz in a rich tomato sauce,81.0,338.904,15.5,4.3,0.4,0.1,4.8,0.59,0.236,4.0,-4.0,95.3309206558096,0.27741935483870966,Low,Low Sugar,Yes
75,ain atlas,6111035001673,ain atlas 50cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.048,1.0,0.0,0.0,,Low,Low Sugar,No
76,alestoalesto lidlalesto selectionlidl,20047238,,646.0,2705.0,6.4,4.2,58.0,6.4,20.4,0.01,0.004,1.0,10.0,100.0,0.65625,High,Low Sugar,No
77,alpro,5411188124689,hafer milch,40.0,167.36,5.8,0.0,1.5,0.2,0.2,0.25,0.1,4.0,1.0,0.0,0.0,Low,Low Sugar,Yes
78,oatly,7394376616228,oat drink barista edition,61.0,255.224,7.1,3.4,3.0,0.3,1.1,0.0975,0.039,3.0,7.0,5.0,0.47887323943661975,Low,Low Sugar,No
79,dost,6111250470742,lait uht entier,58.0,242.672,4.8,4.8,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,Low,Low Sugar,No
80,la prairie,6111203001467,margarine la prairie 225g,635.0,2659.0,0.7,0.0,70.0,0.0,1.0,0.7,0.28,4.0,3.0,0.0,0.0,High,Low Sugar,Yes
81,wasa,7300400481595,tartine croustillante authentique,336.0,1415.0,62.0,1.0,1.5,0.4,9.0,1.0,0.4,3.0,0.0,0.0,0.016129032258064516,High,Low Sugar,No
82,lindt,3046920022651,excellence noir intense 70 cacao,566.0,2350.0,35.0,30.0,41.0,24.0,9.5,0.02,0.008,3.0,25.0,0.0,0.8571428571428571,High,High Sugar,No
84,star,6111184001661,star vinaigre de table blanc,1.0,4.184,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,1.0,Low,Low Sugar,No
85,gervais,6111032008583,,137.0,573.208,11.7,7.2,7.0,4.8,7.0,0.5,0.2,4.0,7.0,0.0,0.6153846153846154,Moderate,Moderate Sugar,Yes
86,rigoni di asiago,8052575090230,nocciolata,544.0,2270.0,54.0,51.0,32.0,5.7,8.1,0.12,0.048,4.0,24.0,18.5,0.9444444444444444,High,High Sugar,Yes
87,bonne maman,3608580065340,pate a tartiner noisettes et cacao,551.0,2299.0,53.0,51.0,34.0,5.2,6.7,0.1,0.04,4.0,24.0,25.0,0.9622641509433962,High,High Sugar,Yes
88,tyrrells,5060042641000,lightly sea salted crisps,476.0,1991.584,49.0,0.64,27.0,2.4,6.2,0.83,0.332,3.0,8.0,0.0,0.013061224489795919,High,Low Sugar,No
89,weetabix,5010029000016,weetabix,136.0,569.024,26.0,1.6,0.8,0.2,4.5,0.0975,0.039,3.0,-3.0,0.0,0.06153846153846154,Moderate,Low Sugar,No
90,green and black,7622210584724,dark chocolate,607.0,2512.0,24.0,0.0,50.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,High,Low Sugar,No
91,volvic,3057640257773,eau minerale naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,1.0,0.0,0.0,,Low,Low Sugar,No
92,joly,6111162001218,filets de maquereau,180.0,753.12,0.6,0.6,8.5,1.5,30.1,0.5,0.2,3.0,-2.0,0.0,1.0,Moderate,Low Sugar,No
93,lindt,3046920022606,excellence noir puissant 85 cacao,584.0,2418.0,22.0,15.0,46.0,27.0,12.5,0.02,0.008,3.0,21.0,0.0,0.6818181818181818,High,Moderate Sugar,No
94,primevere,3155251205296,tartine doux,495.0,2033.0,0.0,0.0,55.0,15.0,0.0,0.4,0.16,4.0,8.0,0.2,,High,Low Sugar,Yes
95,sos,6111251753912,611251753912,73.0,303.0,8.7,2.3,3.3,0.4,1.3,0.83,0.332,1.0,4.0,0.0,0.26436781609195403,Low,Low Sugar,No
97,8dh,6111003031107,,180.0,753.12,0.6,0.16,6.4,1.5,30.1,0.5,0.2,3.0,-2.0,0.0,0.26666666666666666,Moderate,Low Sugar,No
98,bjorg,3229820100234,fourres chocolat noir,481.0,2017.0,65.0,27.0,20.0,6.9,7.6,0.49,0.196,4.0,18.0,0.0,0.4153846153846154,High,High Sugar,Yes
99,el baraka,6111184001074,confiture de fraises 430 g,256.0,1087.0,63.0,62.0,0.5,0.1,0.5,0.02,0.008,4.0,17.0,56.0,0.9841269841269841,High,High Sugar,Yes
